feature,shap_importance_class_Adequate,shap_importance_class_Effective,shap_importance_class_Ineffective
provided,0.0036499397931850823,0.005926313257751463,0.0026956826503000742
reasons,0.003636651409473577,0.005605019322989927,0.0034313420335162262
world,0.003624783506891401,0.0037300239963228496,0.0008696565198119269
distract,0.003623678081514723,0.0027610013280216037,0.0009175608597265887
believe,0.0036120896344753925,0.002147328705192845,0.0017875459833428691
heart,0.003559377192165573,0.0014406286774633883,0.0030765652094946875
young,0.0035436613984174857,0.005601255977641262,0.0035042149338138763
vote people,0.003450917032465187,0.005332769431130322,0.0022426247919214294
provide,0.0032758215407332294,0.005405880455546307,0.002521724890967652
mess,0.003246401014644536,0.005227867410326324,0.002334292963852293
modern,0.003229718481847115,0.005026899727409784,0.0021916346315212017
gaining,0.003181190972905644,0.0058067725893479905,0.0035289505304951846
emotional,0.0031109328707223266,0.006022920155277489,0.003637741505278387
prepare,0.0030172602287469735,0.006886208786046777,0.004341331766051755
easily,0.002994352564554042,0.007011828268541462,0.004391269796113091
classes,0.002940305098672905,0.0034389785088863346,0.0006090891745792156
things could,0.0029283060330759923,0.0035691367328327768,0.0007814312562475967
first reason,0.002858167025069814,0.004226762870246793,0.0015466732592753448
blame,0.0027803817930682497,0.0009213532087187584,0.0036389591896743775
reason,0.0027675129125242426,0.004572221683377151,0.0022181269081086134
shot,0.0027549826100280684,0.001977630690257631,0.001974066016783793
surface,0.0027301893525731357,0.0023901351271638084,0.002363717145540199
atleast,0.002660388168208212,0.0025899873757798918,0.0027367954763921135
edge,0.002632751407486352,0.002852108916402021,0.004890839037524632
distractions,0.002631113908822328,0.005468293724400335,0.0032161718339244263
president,0.002530298005452476,0.004919492635852242,0.0036184285877850645
working,0.002529060528814342,0.0020542147151025075,0.0004868164017479483
get distracted,0.00252439289772699,0.0019608501685883283,0.0005837442062573458
feet,0.002425139483880605,0.00210192829691604,0.0028166144663376875
would,0.002386899552293142,0.003711817763726493,0.002742346294629575
politics,0.002365741872352719,0.0036754537034430616,0.001623535287471039
student learn,0.002365357817528396,0.0017689265743309538,0.003911703393786234
things,0.0022267252858740546,0.0026735467021573966,0.0005539258630610281
best,0.0022055265837290115,0.0011689492711982315,0.0028033098182230717
trying,0.002195658460021926,0.0031890508020065897,0.0011856186042724071
one best,0.002168181344577345,0.00217925515236562,0.0008772911557650649
rocky,0.002150185415613753,0.0017440436217166545,0.001677549533512125
moon,0.0021418720488996044,0.001957152128748972,0.002180663365555384
dark,0.00213308263186681,0.0017526350694415526,0.0020180801785702257
period,0.00212232282073275,0.0016188659987118738,0.002430077675771091
electronics,0.002112624060446753,0.0038035297695774425,0.001991065321302678
reason think,0.0020705334208045148,0.0011478130992500063,0.0009973283165004986
area,0.0020555303373081583,0.0007626274590152732,0.0013880727302569504
years,0.0019543932618329594,0.001050840480324686,0.002160081248476972
side,0.0019452839275891699,0.0009597532728418155,0.0023745928259419078
imagine,0.0019397263831889184,0.0023981937476076883,0.0005900814197231971
feel,0.0019083249023619804,0.003001809786478362,0.0016895663062046974
making,0.0018996130033114196,0.0014414054317107817,0.0017284472177685791
personally,0.0018462976440554238,0.0012502620606129628,0.001347609197973069
time could,0.0018434750467987884,0.0017156382139011943,0.00017751354306483273
keeping,0.0018135060106156179,0.0007046184934581748,0.0016134045918978761
test,0.0017687025601215971,0.002551941356067496,0.0009536780529280006
electoral college,0.0017462909026832295,0.0029761710029786474,0.0023141430895192634
move,0.0017449149056025701,0.001739857337880154,9.003461587891093e-05
would also,0.0017370136134723768,0.0024771732694826684,0.0008714201896715361
idea would,0.001715844267910487,0.00025181660858241214,0.001951486114579216
class,0.0017148801306446579,0.0013635960017761451,0.0019147456259520999
etc,0.0016756908682170626,0.0027671174995295145,0.0012854454473103113
paper,0.001673769758989425,0.001616557148087355,0.00010250856156400858
taking,0.001617892064720868,0.0011583596498677803,0.0005373312627455694
one,0.001611571963457369,0.0013475631781684806,0.002387729567835552
job,0.0015765396161114228,0.0008363783518004925,0.0007538949730327312
stopped,0.0015272135962465243,0.0008274927123210262,0.001853026517036689
idea,0.0015130307305982655,0.0029919986488928098,0.002228678847868019
opinion,0.0014507613888112302,0.0008295764669572058,0.0007512239540608095
trip,0.001416831683298606,0.0009917774315082286,0.0011767739231613888
everything,0.0014157130175993728,0.003157249155166324,0.0019417375243497089
also,0.0014034865734452542,0.0014999570296555303,0.00015565852902148708
life,0.0013859279883876514,0.0006549663317719312,0.001782567310824509
toward,0.0013609540450813893,0.0017715655071732725,0.002956219572335726
learn,0.0013509915067441646,0.000907183643862473,0.0021425170586761967
school,0.0013313451561092742,0.0009084034836575576,0.002116952313063525
hour,0.0013302190071786265,0.0010553000658574366,0.0010362772733164122
want,0.00132381555567946,0.0013264474642224239,0.0012800032035677519
small,0.0012890206368038515,0.0008595544886526937,0.0017799517948269682
us,0.0012702996524653059,0.002275936426789815,0.0013556130282788
better,0.0012491244114728635,0.0015073801258639013,0.002364549137994133
spent,0.0012333673461157873,0.0036631393572460367,0.0026596173464585077
nothing,0.0011974963077824488,0.0008841313961355974,0.0005557577462364462
well,0.001185616392570117,0.004397503972479545,0.004100241757187652
risk,0.0011368584884273048,0.0005408621774614913,0.001542751324662883
today,0.001098521801485982,0.002160942075785946,0.0012121347204681022
student could,0.0010085881772041348,0.002726915383625021,0.0018547680626891932
people,0.0010020206452091777,0.0016583944972934513,0.0008398527718672305
water,0.0009956765034590032,0.00040535825188277855,0.0013787799374542621
second,0.0009616363748138542,0.00044192927524130076,0.0008652893959461904
distracted,0.0009204067757326136,0.0021223558316221746,0.0026840871750175364
animals,0.0009187695584255976,0.0007950515059712818,0.0013770693940602288
done,0.0008572100510074109,0.0005083667257549211,0.000364787348210319
work,0.000842733447423015,0.0002626231806296839,0.0006931170362538684
clean,0.0008051539557324943,0.0020496254415243143,0.0013761248150653898
time,0.0007788130808221435,0.0005600408896539841,0.00025112517970144393
students,0.000736102903969155,0.0027493240570835528,0.0022415772144387057
conduct,0.0007284259519860653,0.00020374576342227068,0.0007245103334092674
different,0.0007006576697411063,0.0008183746925146636,0.000460742263309785
represent,0.000586797046004999,0.0011794020099404126,0.0009069840426083152
report,0.0005831224444058006,0.0006103477509598646,0.0008906134122811666
college,0.0005655478640375102,0.001030562386744133,0.0010795668105031942
vote,0.0005458654761917679,0.001014824934832127,0.0007016425199741216
hear,0.0005361762597400378,0.000714552724315632,0.00024981047856834326
meaning,0.0005188221580457235,0.00011236973735762802,0.0005515566977818592
assignment,0.0005025026449259442,0.0018697530721243996,0.0015286423067765464
electoral,0.0004872084157092122,0.0008082989220377526,0.0007020258517143527
high,0.0004489828983218101,0.0005528444659366461,0.000941534738226885
online,0.0004319092208794624,0.00205248632805689,0.0019599978615186205
believe aliens,0.00038705334798813564,0.0008660062382496924,0.0006443459301923047
first,0.0002522290224030685,0.0003030430377228372,0.000515096129400954
many,0.00023874589714497916,0.001334661534188991,0.0013391797693578242
every,0.00023333678574413672,0.00015321302856015484,0.0002546931319852315
online classes,0.00022232841600788606,0.00019160792596693298,0.0002585633279277309
quote,0.0,0.0,0.0
project could,0.0,0.0,0.0
project designed,0.0,0.0,0.0
process place,0.0,0.0,0.0
project summer,0.0,0.0,0.0
project student,0.0,0.0,0.0
problem,0.0,0.0,0.0
quirks,0.0,0.0,0.0
project students,0.0,0.0,0.0
probes,0.0,0.0,0.0
probaly,0.0,0.0,0.0
quiet,0.0,0.0,0.0
quickly,0.0,0.0,0.0
project teacher,0.0,0.0,0.0
project would,0.0,0.0,0.0
project,0.0,0.0,0.0
quite,0.0,0.0,0.0
progress,0.0,0.0,0.0
programs,0.0,0.0,0.0
process electoral,0.0,0.0,0.0
process consists,0.0,0.0,0.0
produces,0.0,0.0,0.0
quirks electoral,0.0,0.0,0.0
product,0.0,0.0,0.0
productive,0.0,0.0,0.0
projects,0.0,0.0,0.0
process begins,0.0,0.0,0.0
productivity,0.0,0.0,0.0
process,0.0,0.0,0.0
quit,0.0,0.0,0.0
prof,0.0,0.0,0.0
professional,0.0,0.0,0.0
professor,0.0,0.0,0.0
program,0.0,0.0,0.0
produce,0.0,0.0,0.0
problem elections,0.0,0.0,0.0
public transportation,0.0,0.0,0.0
questions,0.0,0.0,0.0
projects allow,0.0,0.0,0.0
pursue,0.0,0.0,0.0
proud,0.0,0.0,0.0
prove,0.0,0.0,0.0
proved,0.0,0.0,0.0
proven,0.0,0.0,0.0
puts,0.0,0.0,0.0
put effort,0.0,0.0,0.0
proves,0.0,0.0,0.0
put,0.0,0.0,0.0
push,0.0,0.0,0.0
probably tell,0.0,0.0,0.0
pursuit despite,0.0,0.0,0.0
pursuit,0.0,0.0,0.0
provides,0.0,0.0,0.0
quicker,0.0,0.0,0.0
providing,0.0,0.0,0.0
proving,0.0,0.0,0.0
purposes electoral,0.0,0.0,0.0
proximity,0.0,0.0,0.0
public,0.0,0.0,0.0
purposes,0.0,0.0,0.0
purpose,0.0,0.0,0.0
public office,0.0,0.0,0.0
public school,0.0,0.0,0.0
punishment,0.0,0.0,0.0
public schools,0.0,0.0,0.0
pull,0.0,0.0,0.0
putting,0.0,0.0,0.0
protection,0.0,0.0,0.0
protect,0.0,0.0,0.0
prospect tie,0.0,0.0,0.0
projects assure,0.0,0.0,0.0
projects designed,0.0,0.0,0.0
projects student,0.0,0.0,0.0
quick,0.0,0.0,0.0
projects studentdesigned,0.0,0.0,0.0
projects students,0.0,0.0,0.0
projects summer,0.0,0.0,0.0
projects teacher,0.0,0.0,0.0
projects teacherdesigned,0.0,0.0,0.0
projects teachers,0.0,0.0,0.0
projects would,0.0,0.0,0.0
promote,0.0,0.0,0.0
question,0.0,0.0,0.0
promoting,0.0,0.0,0.0
proof,0.0,0.0,0.0
quality,0.0,0.0,0.0
qualities,0.0,0.0,0.0
qualified citizens,0.0,0.0,0.0
proper,0.0,0.0,0.0
qualified,0.0,0.0,0.0
properly,0.0,0.0,0.0
pros,0.0,0.0,0.0
pros cons,0.0,0.0,0.0
pyramids,0.0,0.0,0.0
prospect,0.0,0.0,0.0
abilities,0.0,0.0,0.0
president want,0.0,0.0,0.0
probably covered,0.0,0.0,0.0
poeple,0.0,0.0,0.0
poll,0.0,0.0,0.0
political preference,0.0,0.0,0.0
political party,0.0,0.0,0.0
political balance,0.0,0.0,0.0
political,0.0,0.0,0.0
policy students,0.0,0.0,0.0
policy one,0.0,0.0,0.0
policy,0.0,0.0,0.0
police,0.0,0.0,0.0
points view,0.0,0.0,0.0
points light,0.0,0.0,0.0
points,0.0,0.0,0.0
pointless,0.0,0.0,0.0
point views,0.0,0.0,0.0
point view,0.0,0.0,0.0
poll taken,0.0,0.0,0.0
polluted,0.0,0.0,0.0
pollution,0.0,0.0,0.0
population,0.0,0.0,0.0
possible,0.0,0.0,0.0
possibility,0.0,0.0,0.0
possibilities,0.0,0.0,0.0
posner,0.0,0.0,0.0
positive,0.0,0.0,0.0
position,0.0,0.0,0.0
popularity,0.0,0.0,0.0
poor,0.0,0.0,0.0
popular voting,0.0,0.0,0.0
popular votes,0.0,0.0,0.0
popular vote,0.0,0.0,0.0
popular,0.0,0.0,0.0
pop icon,0.0,0.0,0.0
pop,0.0,0.0,0.0
point,0.0,0.0,0.0
pm,0.0,0.0,0.0
possible winner,0.0,0.0,0.0
plus two,0.0,0.0,0.0
plant,0.0,0.0,0.0
plans,0.0,0.0,0.0
planning,0.0,0.0,0.0
planned,0.0,0.0,0.0
planets surface,0.0,0.0,0.0
planets,0.0,0.0,0.0
planetary visit,0.0,0.0,0.0
planetary,0.0,0.0,0.0
planet venus,0.0,0.0,0.0
planet surface,0.0,0.0,0.0
planet sun,0.0,0.0,0.0
planet solar,0.0,0.0,0.0
planet mars,0.0,0.0,0.0
planet humans,0.0,0.0,0.0
planet earth,0.0,0.0,0.0
plants,0.0,0.0,0.0
plates,0.0,0.0,0.0
play,0.0,0.0,0.0
pledged,0.0,0.0,0.0
plus,0.0,0.0,0.0
plurality popular,0.0,0.0,0.0
plurality,0.0,0.0,0.0
plumer,0.0,0.0,0.0
plenty,0.0,0.0,0.0
pledged kerry,0.0,0.0,0.0
please,0.0,0.0,0.0
play games,0.0,0.0,0.0
plays,0.0,0.0,0.0
playing sports,0.0,0.0,0.0
playing,0.0,0.0,0.0
played,0.0,0.0,0.0
play sports,0.0,0.0,0.0
play sport,0.0,0.0,0.0
possible solution,0.0,0.0,0.0
possibly,0.0,0.0,0.0
probably,0.0,0.0,0.0
president states,0.0,0.0,0.0
pressure times,0.0,0.0,0.0
pressure heat,0.0,0.0,0.0
pressure,0.0,0.0,0.0
presidents,0.0,0.0,0.0
presidential elections,0.0,0.0,0.0
presidential election,0.0,0.0,0.0
presidential canidate,0.0,0.0,0.0
presidential candidates,0.0,0.0,0.0
presidential candidate,0.0,0.0,0.0
presidential,0.0,0.0,0.0
presidental,0.0,0.0,0.0
president would,0.0,0.0,0.0
president voting,0.0,0.0,0.0
president vote,0.0,0.0,0.0
president vice,0.0,0.0,0.0
pressure would,0.0,0.0,0.0
pretty,0.0,0.0,0.0
pretty much,0.0,0.0,0.0
principal,0.0,0.0,0.0
privilege,0.0,0.0,0.0
private,0.0,0.0,0.0
privacy,0.0,0.0,0.0
priority,0.0,0.0,0.0
prior,0.0,0.0,0.0
principle,0.0,0.0,0.0
prices,0.0,0.0,0.0
pretty sure,0.0,0.0,0.0
price,0.0,0.0,0.0
previously,0.0,0.0,0.0
previous,0.0,0.0,0.0
prevents,0.0,0.0,0.0
prevented,0.0,0.0,0.0
prevent,0.0,0.0,0.0
president united,0.0,0.0,0.0
president state,0.0,0.0,0.0
potential,0.0,0.0,0.0
president slate,0.0,0.0,0.0
prepares certificate,0.0,0.0,0.0
prepares,0.0,0.0,0.0
prepared,0.0,0.0,0.0
prepare students,0.0,0.0,0.0
preference rather,0.0,0.0,0.0
preference,0.0,0.0,0.0
prefer direct,0.0,0.0,0.0
prefer,0.0,0.0,0.0
practice,0.0,0.0,0.0
practical,0.0,0.0,0.0
powerful earthquakes,0.0,0.0,0.0
powerful,0.0,0.0,0.0
power,0.0,0.0,0.0
potentially,0.0,0.0,0.0
potential voters,0.0,0.0,0.0
preparing,0.0,0.0,0.0
presedent,0.0,0.0,0.0
present,0.0,0.0,0.0
president electoral,0.0,0.0,0.0
president richard,0.0,0.0,0.0
president popular,0.0,0.0,0.0
president people,0.0,0.0,0.0
president ought,0.0,0.0,0.0
president may,0.0,0.0,0.0
president electors,0.0,0.0,0.0
president elected,0.0,0.0,0.0
presented,0.0,0.0,0.0
president counting,0.0,0.0,0.0
president also,0.0,0.0,0.0
presidency percent,0.0,0.0,0.0
presidency,0.0,0.0,0.0
presents,0.0,0.0,0.0
presented venus,0.0,0.0,0.0
race,0.0,0.0,0.0
real face,0.0,0.0,0.0
races,0.0,0.0,0.0
safely,0.0,0.0,0.0
sadness,0.0,0.0,0.0
sad happy,0.0,0.0,0.0
sad,0.0,0.0,0.0
rush,0.0,0.0,0.0
runs,0.0,0.0,0.0
runoff elections,0.0,0.0,0.0
runoff,0.0,0.0,0.0
running president,0.0,0.0,0.0
running,0.0,0.0,0.0
run country,0.0,0.0,0.0
run,0.0,0.0,0.0
rules,0.0,0.0,0.0
rule,0.0,0.0,0.0
ruin,0.0,0.0,0.0
rubric,0.0,0.0,0.0
safe,0.0,0.0,0.0
safer,0.0,0.0,0.0
rosenthal,0.0,0.0,0.0
safety,0.0,0.0,0.0
says electoral,0.0,0.0,0.0
says,0.0,0.0,0.0
saying,0.0,0.0,0.0
say want,0.0,0.0,0.0
say students,0.0,0.0,0.0
say people,0.0,0.0,0.0
say electoral,0.0,0.0,0.0
say,0.0,0.0,0.0
saw,0.0,0.0,0.0
saving,0.0,0.0,0.0
saved,0.0,0.0,0.0
save,0.0,0.0,0.0
satisfied,0.0,0.0,0.0
samples,0.0,0.0,0.0
said,0.0,0.0,0.0
routine,0.0,0.0,0.0
room,0.0,0.0,0.0
says venus,0.0,0.0,0.0
right decision,0.0,0.0,0.0
right,0.0,0.0,0.0
riding,0.0,0.0,0.0
ride,0.0,0.0,0.0
rid electoral,0.0,0.0,0.0
rid,0.0,0.0,0.0
richard posner,0.0,0.0,0.0
richard nixon,0.0,0.0,0.0
richard,0.0,0.0,0.0
rhode island,0.0,0.0,0.0
rhode,0.0,0.0,0.0
revealing,0.0,0.0,0.0
revealed,0.0,0.0,0.0
reveal,0.0,0.0,0.0
return,0.0,0.0,0.0
retain,0.0,0.0,0.0
right choice,0.0,0.0,0.0
right thing,0.0,0.0,0.0
romney,0.0,0.0,0.0
right vote,0.0,0.0,0.0
role,0.0,0.0,0.0
rode,0.0,0.0,0.0
rocky sediment,0.0,0.0,0.0
rocks,0.0,0.0,0.0
rock formation,0.0,0.0,0.0
rock,0.0,0.0,0.0
robots,0.0,0.0,0.0
roads,0.0,0.0,0.0
road,0.0,0.0,0.0
river plain,0.0,0.0,0.0
river,0.0,0.0,0.0
risky,0.0,0.0,0.0
risks,0.0,0.0,0.0
rise,0.0,0.0,0.0
rights,0.0,0.0,0.0
says paragraph,0.0,0.0,0.0
scared,0.0,0.0,0.0
result,0.0,0.0,0.0
seagoing cowboy,0.0,0.0,0.0
sea level,0.0,0.0,0.0
sea,0.0,0.0,0.0
screen,0.0,0.0,0.0
scores,0.0,0.0,0.0
scientists,0.0,0.0,0.0
scientist nasa,0.0,0.0,0.0
scientist,0.0,0.0,0.0
scientific,0.0,0.0,0.0
science,0.0,0.0,0.0
schoolwork,0.0,0.0,0.0
schools students,0.0,0.0,0.0
schools require,0.0,0.0,0.0
schools offer,0.0,0.0,0.0
schools,0.0,0.0,0.0
schoolname,0.0,0.0,0.0
seagoing,0.0,0.0,0.0
seagoing cowboys,0.0,0.0,0.0
schooled,0.0,0.0,0.0
seat,0.0,0.0,0.0
see students,0.0,0.0,0.0
see single,0.0,0.0,0.0
see people,0.0,0.0,0.0
see many,0.0,0.0,0.0
see face,0.0,0.0,0.0
see candidates,0.0,0.0,0.0
see,0.0,0.0,0.0
sediment includes,0.0,0.0,0.0
sediment,0.0,0.0,0.0
section,0.0,0.0,0.0
seconds,0.0,0.0,0.0
secondly,0.0,0.0,0.0
second reason,0.0,0.0,0.0
second planet,0.0,0.0,0.0
second opinion,0.0,0.0,0.0
schooling,0.0,0.0,0.0
school year,0.0,0.0,0.0
scenario,0.0,0.0,0.0
school learn,0.0,0.0,0.0
school hours,0.0,0.0,0.0
school home,0.0,0.0,0.0
school help,0.0,0.0,0.0
school get,0.0,0.0,0.0
school everyday,0.0,0.0,0.0
school dont,0.0,0.0,0.0
school day,0.0,0.0,0.0
school could,0.0,0.0,0.0
school community,0.0,0.0,0.0
school better,0.0,0.0,0.0
school also,0.0,0.0,0.0
school activity,0.0,0.0,0.0
school activities,0.0,0.0,0.0
schedules,0.0,0.0,0.0
schedule,0.0,0.0,0.0
school kids,0.0,0.0,0.0
school learning,0.0,0.0,0.0
school would,0.0,0.0,0.0
school like,0.0,0.0,0.0
school work,0.0,0.0,0.0
school use,0.0,0.0,0.0
school time,0.0,0.0,0.0
school systems,0.0,0.0,0.0
school system,0.0,0.0,0.0
school students,0.0,0.0,0.0
school student,0.0,0.0,0.0
school sports,0.0,0.0,0.0
school school,0.0,0.0,0.0
school policy,0.0,0.0,0.0
school online,0.0,0.0,0.0
school need,0.0,0.0,0.0
school may,0.0,0.0,0.0
school many,0.0,0.0,0.0
school make,0.0,0.0,0.0
results,0.0,0.0,0.0
restores weight,0.0,0.0,0.0
races swing,0.0,0.0,0.0
receives,0.0,0.0,0.0
receive,0.0,0.0,0.0
reasons think,0.0,0.0,0.0
reasons keep,0.0,0.0,0.0
reasoning,0.0,0.0,0.0
reasonable,0.0,0.0,0.0
reason would,0.0,0.0,0.0
reason students,0.0,0.0,0.0
reason people,0.0,0.0,0.0
reason electoral,0.0,0.0,0.0
really want,0.0,0.0,0.0
really voting,0.0,0.0,0.0
really think,0.0,0.0,0.0
really need,0.0,0.0,0.0
really know,0.0,0.0,0.0
really help,0.0,0.0,0.0
received,0.0,0.0,0.0
receives majority,0.0,0.0,0.0
really dont,0.0,0.0,0.0
receives popular,0.0,0.0,0.0
reduced,0.0,0.0,0.0
reduce smog,0.0,0.0,0.0
reduce,0.0,0.0,0.0
red planet,0.0,0.0,0.0
red,0.0,0.0,0.0
recognize student,0.0,0.0,0.0
recognize,0.0,0.0,0.0
recognition,0.0,0.0,0.0
recieves majority,0.0,0.0,0.0
recieves,0.0,0.0,0.0
recieved,0.0,0.0,0.0
recieve,0.0,0.0,0.0
recently,0.0,0.0,0.0
recent,0.0,0.0,0.0
receiving,0.0,0.0,0.0
really good,0.0,0.0,0.0
really bad,0.0,0.0,0.0
reducing,0.0,0.0,0.0
rd amendment,0.0,0.0,0.0
rather people,0.0,0.0,0.0
rather,0.0,0.0,0.0
rates,0.0,0.0,0.0
rate,0.0,0.0,0.0
rarely betrayed,0.0,0.0,0.0
rarely,0.0,0.0,0.0
rare,0.0,0.0,0.0
range,0.0,0.0,0.0
random,0.0,0.0,0.0
ran president,0.0,0.0,0.0
ran,0.0,0.0,0.0
raise,0.0,0.0,0.0
radio talk,0.0,0.0,0.0
radio,0.0,0.0,0.0
radar,0.0,0.0,0.0
rd,0.0,0.0,0.0
reach,0.0,0.0,0.0
really,0.0,0.0,0.0
react,0.0,0.0,0.0
realized,0.0,0.0,0.0
realize,0.0,0.0,0.0
reality,0.0,0.0,0.0
real life,0.0,0.0,0.0
planet,0.0,0.0,0.0
ready,0.0,0.0,0.0
reads,0.0,0.0,0.0
reading,0.0,0.0,0.0
readers,0.0,0.0,0.0
reader,0.0,0.0,0.0
read students,0.0,0.0,0.0
read emotions,0.0,0.0,0.0
read emotional,0.0,0.0,0.0
read,0.0,0.0,0.0
reaction,0.0,0.0,0.0
reduces,0.0,0.0,0.0
referred,0.0,0.0,0.0
restores,0.0,0.0,0.0
research,0.0,0.0,0.0
requiring,0.0,0.0,0.0
requires presidential,0.0,0.0,0.0
requires human,0.0,0.0,0.0
requires,0.0,0.0,0.0
requirements,0.0,0.0,0.0
requirement,0.0,0.0,0.0
required perform,0.0,0.0,0.0
required elect,0.0,0.0,0.0
required community,0.0,0.0,0.0
required,0.0,0.0,0.0
require students,0.0,0.0,0.0
require,0.0,0.0,0.0
reputation,0.0,0.0,0.0
republicans,0.0,0.0,0.0
republican,0.0,0.0,0.0
requiring students,0.0,0.0,0.0
researchers,0.0,0.0,0.0
representing,0.0,0.0,0.0
researching,0.0,0.0,0.0
rest,0.0,0.0,0.0
responsible picking,0.0,0.0,0.0
responsible,0.0,0.0,0.0
responsibility,0.0,0.0,0.0
responsibilities,0.0,0.0,0.0
response,0.0,0.0,0.0
respond,0.0,0.0,0.0
respective electors,0.0,0.0,0.0
respective,0.0,0.0,0.0
respect,0.0,0.0,0.0
resources,0.0,0.0,0.0
resolution,0.0,0.0,0.0
residents,0.0,0.0,0.0
resembles human,0.0,0.0,0.0
resembles,0.0,0.0,0.0
represents,0.0,0.0,0.0
representatives state,0.0,0.0,0.0
referred earths,0.0,0.0,0.0
relationships,0.0,0.0,0.0
related,0.0,0.0,0.0
relate,0.0,0.0,0.0
regular,0.0,0.0,0.0
register,0.0,0.0,0.0
regions,0.0,0.0,0.0
regional appeal,0.0,0.0,0.0
regional,0.0,0.0,0.0
region,0.0,0.0,0.0
regardless,0.0,0.0,0.0
regarding,0.0,0.0,0.0
regarded anachronism,0.0,0.0,0.0
regarded,0.0,0.0,0.0
refused vote,0.0,0.0,0.0
refused,0.0,0.0,0.0
reflect,0.0,0.0,0.0
relationship,0.0,0.0,0.0
relax,0.0,0.0,0.0
representatives,0.0,0.0,0.0
relaxing,0.0,0.0,0.0
representative,0.0,0.0,0.0
representation,0.0,0.0,0.0
replacing democratic,0.0,0.0,0.0
replacing,0.0,0.0,0.0
replaced,0.0,0.0,0.0
replace,0.0,0.0,0.0
removed,0.0,0.0,0.0
remove,0.0,0.0,0.0
reminds,0.0,0.0,0.0
remember,0.0,0.0,0.0
remain,0.0,0.0,0.0
rely,0.0,0.0,0.0
relieve stress,0.0,0.0,0.0
relieve,0.0,0.0,0.0
reliable,0.0,0.0,0.0
planet also,0.0,0.0,0.0
phone use,0.0,0.0,0.0
plan,0.0,0.0,0.0
nasa would,0.0,0.0,0.0
natural,0.0,0.0,0.0
nationwide,0.0,0.0,0.0
nations,0.0,0.0,0.0
national popular,0.0,0.0,0.0
national,0.0,0.0,0.0
nation,0.0,0.0,0.0
nasas,0.0,0.0,0.0
nasa working,0.0,0.0,0.0
mother,0.0,0.0,0.0
nasa trying,0.0,0.0,0.0
nasa,0.0,0.0,0.0
names respective,0.0,0.0,0.0
names,0.0,0.0,0.0
named,0.0,0.0,0.0
name,0.0,0.0,0.0
na,0.0,0.0,0.0
natural land,0.0,0.0,0.0
natural landform,0.0,0.0,0.0
natural landforms,0.0,0.0,0.0
naturally,0.0,0.0,0.0
need keep,0.0,0.0,0.0
need help,0.0,0.0,0.0
need go,0.0,0.0,0.0
need get,0.0,0.0,0.0
need change,0.0,0.0,0.0
need advice,0.0,0.0,0.0
need,0.0,0.0,0.0
necessary,0.0,0.0,0.0
necessarily,0.0,0.0,0.0
nebraska,0.0,0.0,0.0
nearly succeeded,0.0,0.0,0.0
nearly,0.0,0.0,0.0
nearest,0.0,0.0,0.0
near,0.0,0.0,0.0
nature,0.0,0.0,0.0
must participate,0.0,0.0,0.0
must move,0.0,0.0,0.0
must,0.0,0.0,0.0
much basis,0.0,0.0,0.0
mr,0.0,0.0,0.0
